QUOTE_UNIXTIME, QUOTE_READTIME, QUOTE_DATE, QUOTE_TIME_HOURS, UNDERLYING_LAST, EXPIRE_DATE, EXPIRE_UNIX, DTE, C_DELTA, C_GAMMA, C_VEGA, C_THETA, C_RHO, C_IV, C_VOLUME, C_LAST, C_SIZE, C_BID, C_ASK, STRIKE, P_BID, P_ASK, P_SIZE, P_LAST, P_DELTA, P_GAMMA, P_VEGA, P_THETA, P_RHO, P_IV, P_VOLUME, STRIKE_DISTANCE, STRIKE_DISTANCE_PCT
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.029800, , 1.000000, 92.890000, 10 x 10, 93.020000, 93.650000, 230.000000, 0.000000, 0.010000, 0 x 584, 0.010000, -0.000150, 0.000100, 0.000920, -0.004500, 0.000000, 0.932080, 10.000000, 93.600000, 0.289000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 0.996720, 0.000290, 0.004060, -0.032400, 0.030680, 1.069990, , 0.000000, 20 x 30, 88.250000, 89.030000, 235.000000, 0.000000, 0.010000, 0 x 537, 0.010000, -0.001050, 0.000060, 0.000290, -0.004440, -0.000300, 0.877150, 419.000000, 88.600000, 0.274000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, -0.000090, 0.030940, , 2.000000, 80.430000, 10 x 10, 82.940000, 83.560000, 240.000000, 0.000000, 0.010000, 0 x 418, 0.050000, -0.000840, 0.000040, 0.000680, -0.003590, -0.000180, 0.823540, 0.000000, 83.600000, 0.258000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.031740, , , 0.000000, 20 x 20, 77.970000, 78.600000, 245.000000, 0.000000, 0.010000, 0 x 156, 0.010000, -0.000550, 0.000100, 0.000680, -0.004310, 0.000000, 0.769910, 50.000000, 78.600000, 0.243000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, -0.000090, 0.032510, , 1.000000, 68.830000, 20 x 20, 72.930000, 73.510000, 250.000000, 0.000000, 0.020000, 0 x 235, 0.010000, -0.001560, 0.000150, 0.001640, -0.008170, 0.000000, 0.762880, 677.000000, 73.600000, 0.227000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.032670, , 1.000000, 67.550000, 20 x 11, 68.200000, 68.950000, 255.000000, 0.000000, 0.030000, 1 x 1232, 0.020000, -0.001910, 0.000180, 0.002670, -0.011000, -0.000050, 0.732770, 11.000000, 68.600000, 0.212000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, -0.000280, 0.033250, , 0.000000, 56.620000, 20 x 10, 63.130000, 63.350000, 260.000000, 0.010000, 0.020000, 1119 x 899, 0.020000, -0.001720, 0.000300, 0.002200, -0.011220, -0.000560, 0.679330, 58.000000, 63.600000, 0.197000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, -0.000560, 0.034080, , 10.000000, 65.500000, 10 x 10, 58.070000, 58.590000, 265.000000, 0.020000, 0.030000, 1 x 1264, 0.030000, -0.003750, 0.000420, 0.004100, -0.017600, -0.000370, 0.655610, 11.000000, 58.600000, 0.181000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, -0.000120, 0.035440, , 0.000000, 43.500000, 20 x 20, 53.040000, 53.600000, 270.000000, 0.030000, 0.040000, 251 x 1300, 0.040000, -0.004460, 0.000570, 0.004810, -0.024290, -0.000080, 0.622170, 152.000000, 53.600000, 0.166000
1614632400, 2021-03-01 16:00, 2021-03-01, 16.000000, 323.590000, 2021-03-05, 1614978000, 4.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.036030, , 1.000000, 42.110000, 10 x 10, 47.950000, 48.620000, 275.000000, 0.040000, 0.050000, 250 x 1210, 0.040000, -0.006550, 0.000790, 0.006970, -0.030520, -0.000010, 0.581320, 240.000000, 48.600000, 0.150000
